domain,problem,planner,PlanCost,Runtime_internal_s,Runtime_wall_s,Status,LLM_Model,Prompt_ID,LLM_API_Time_s,LLM_Temperature,Valid_Domain,PlanCost
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-1.pddl,fd,6,0.002851,0.160605,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,6
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-10.pddl,fd,22,0.004899,0.169427,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,22
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-11.pddl,fd,32,0.005554,0.168838,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,32
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-12.pddl,fd,44,0.006742,0.169693,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,44
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-13.pddl,fd,38,0.007129,0.175512,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,38
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-14.pddl,fd,24,0.006349,0.17746,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,24
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-15.pddl,fd,26,0.005837,0.177201,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,26
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-16.pddl,fd,60,0.011297,0.182717,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,60
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-17.pddl,fd,64,0.011839,0.188477,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,64
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-18.pddl,fd,48,0.010047,0.182308,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,48
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-19.pddl,fd,48,0.011266,0.188473,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,48
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-2.pddl,fd,10,0.002871,0.161758,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,10
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-20.pddl,fd,64,0.013473,0.196683,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,64
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-3.pddl,fd,6,0.00301,0.159775,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,6
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-4.pddl,fd,12,0.003431,0.160778,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,12
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-5.pddl,fd,10,0.003429,0.163645,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,10
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-6.pddl,fd,20,0.003814,0.163058,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,20
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-7.pddl,fd,12,0.003973,0.165973,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,12
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-8.pddl,fd,14,0.003923,0.177122,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,14
benchmarks/blocks-strips-typed/domain_llm_gpt4o_zero_shot_long_20250613_030110.pddl,benchmarks/blocks-strips-typed/instances/instance-9.pddl,fd,28,0.004465,0.166296,SUCCESS,gpt-4o,zero_shot_long,4.381863594055176,0.2,True,28
