domain,problem,LLM_Model,Prompt_ID,LLM_API_Time_s,LLM_Temperature,Valid_Domain
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-1.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-10.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-11.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-12.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-13.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-14.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-15.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-16.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-17.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-18.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-19.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-2.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-20.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-3.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-4.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-5.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-6.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-7.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-8.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
benchmarks/transport-sequential-agile/domain_llm_gpt4o_zero_shot_long_20250614_125152.pddl,benchmarks/transport-sequential-agile/instances/instance-9.pddl,gpt-4o,zero_shot_long,4.882773399353027,0.2,True
